frontend-1  | 2026-04-18T05:47:03.053395291Z 172.19.0.1 - - [18/Apr/2026:05:47:03 +0000] "GET / HTTP/1.1" 200 3077 "-" "node" "-"
frontend-1  | 2026-04-18T05:47:41.043165146Z 172.19.0.1 - - [18/Apr/2026:05:47:41 +0000] "GET / HTTP/1.1" 200 3077 "-" "node" "-"
frontend-1  | 2026-04-18T05:47:43.042755744Z 172.19.0.1 - - [18/Apr/2026:05:47:43 +0000] "GET / HTTP/1.1" 200 3077 "-" "node" "-"
frontend-1  | 2026-04-18T05:47:45.043643322Z 172.19.0.1 - - [18/Apr/2026:05:47:45 +0000] "GET / HTTP/1.1" 200 3077 "-" "node" "-"
frontend-1  | 2026-04-18T05:47:47.042743948Z 172.19.0.1 - - [18/Apr/2026:05:47:47 +0000] "GET / HTTP/1.1" 200 3077 "-" "node" "-"
frontend-1  | 2026-04-18T05:47:49.043686394Z 172.19.0.1 - - [18/Apr/2026:05:47:49 +0000] "GET / HTTP/1.1" 200 3077 "-" "node" "-"
frontend-1  | 2026-04-18T05:47:51.046169720Z 172.19.0.1 - - [18/Apr/2026:05:47:51 +0000] "GET / HTTP/1.1" 200 3077 "-" "node" "-"
frontend-1  | 2026-04-18T05:47:53.046762448Z 172.19.0.1 - - [18/Apr/2026:05:47:53 +0000] "GET / HTTP/1.1" 200 3077 "-" "node" "-"
frontend-1  | 2026-04-18T05:47:55.047774911Z 172.19.0.1 - - [18/Apr/2026:05:47:55 +0000] "GET / HTTP/1.1" 200 3077 "-" "node" "-"
frontend-1  | 2026-04-18T05:47:57.048613716Z 172.19.0.1 - - [18/Apr/2026:05:47:57 +0000] "GET / HTTP/1.1" 200 3077 "-" "node" "-"
frontend-1  | 2026-04-18T05:47:59.048697807Z 172.19.0.1 - - [18/Apr/2026:05:47:59 +0000] "GET / HTTP/1.1" 200 3077 "-" "node" "-"
frontend-1  | 2026-04-18T05:48:01.049788813Z 172.19.0.1 - - [18/Apr/2026:05:48:01 +0000] "GET / HTTP/1.1" 200 3077 "-" "node" "-"
mongodb-1   | 2026-04-18T05:47:43.902417582Z {"t":{"$date":"2026-04-18T05:47:43.902+00:00"},"s":"I",  "c":"NETWORK",  "id":22943,   "ctx":"listener","msg":"Connection accepted","attr":{"remote":"172.19.0.3:33888","uuid":"5f30f197-d2b1-418a-a035-c56c057100b9","connectionId":21,"connectionCount":21}}
mongodb-1   | 2026-04-18T05:47:43.902449106Z {"t":{"$date":"2026-04-18T05:47:43.902+00:00"},"s":"I",  "c":"NETWORK",  "id":22943,   "ctx":"listener","msg":"Connection accepted","attr":{"remote":"172.19.0.3:33904","uuid":"4f7ff55a-2dad-4492-a515-6f1147bde8b0","connectionId":22,"connectionCount":22}}
mongodb-1   | 2026-04-18T05:47:45.208749990Z {"t":{"$date":"2026-04-18T05:47:45.208+00:00"},"s":"I",  "c":"NETWORK",  "id":51800,   "ctx":"conn21","msg":"client metadata","attr":{"remote":"172.19.0.3:33888","client":"conn21","negotiatedCompressors":[],"doc":{"driver":{"name":"nodejs|Mongoose","version":"6.17.0|8.16.3"},"platform":"Node.js v18.20.8, LE","os":{"name":"linux","architecture":"x64","version":"6.17.0-20-generic","type":"Linux"},"env":{"container":{"runtime":"docker"}}}}}
mongodb-1   | 2026-04-18T05:47:45.208781943Z {"t":{"$date":"2026-04-18T05:47:45.208+00:00"},"s":"I",  "c":"NETWORK",  "id":51800,   "ctx":"conn22","msg":"client metadata","attr":{"remote":"172.19.0.3:33904","client":"conn22","negotiatedCompressors":[],"doc":{"driver":{"name":"nodejs|Mongoose","version":"6.17.0|8.16.3"},"platform":"Node.js v18.20.8, LE","os":{"name":"linux","architecture":"x64","version":"6.17.0-20-generic","type":"Linux"},"env":{"container":{"runtime":"docker"}}}}}
mongodb-1   | 2026-04-18T05:47:54.749107475Z {"t":{"$date":"2026-04-18T05:47:54.749+00:00"},"s":"I",  "c":"WTCHKPT",  "id":22430,   "ctx":"Checkpointer","msg":"WiredTiger message","attr":{"message":{"ts_sec":1776491274,"ts_usec":749010,"thread":"1:0x7b89f54bd640","session_name":"WT_SESSION.checkpoint","category":"WT_VERB_CHECKPOINT_PROGRESS","category_id":6,"verbose_level":"DEBUG","verbose_level_id":1,"msg":"saving checkpoint snapshot min: 31, snapshot max: 31 snapshot count: 0, oldest timestamp: (0, 0) , meta checkpoint timestamp: (0, 0) base write gen: 365"}}}
